,age,california_region,total_rooms,total_bedrooms,population,households,median_house_value
0,de_0_ate_18,sul,5612.0,1283.0,1015.0,472.0,66900.0
1,ate_29,sul,7650.0,1901.0,1129.0,463.0,80100.0
2,de_0_ate_18,sul,720.0,174.0,333.0,117.0,85700.0
3,de_0_ate_18,sul,1501.0,337.0,515.0,226.0,73400.0
4,ate_29,sul,1454.0,326.0,624.0,262.0,65500.0
5,ate_37,sul,1387.0,236.0,671.0,239.0,74000.0
6,ate_29,sul,2907.0,680.0,1841.0,633.0,82400.0
7,acima_37,sul,812.0,168.0,375.0,158.0,48500.0
8,ate_37,sul,4789.0,1175.0,3134.0,1056.0,58400.0
9,acima_37,sul,1497.0,309.0,787.0,271.0,48100.0
10,de_0_ate_18,sul,3741.0,801.0,2434.0,824.0,86500.0
11,ate_29,sul,1988.0,483.0,1182.0,437.0,62000.0
12,acima_37,sul,1291.0,248.0,580.0,211.0,48600.0
13,ate_37,sul,2478.0,464.0,1346.0,479.0,70400.0
14,de_0_ate_18,sul,1448.0,378.0,949.0,300.0,45000.0
15,de_0_ate_18,sul,2556.0,587.0,1005.0,401.0,69100.0
16,ate_29,sul,1678.0,322.0,666.0,256.0,94900.0
17,ate_29,sul,44.0,33.0,64.0,27.0,25000.0
18,de_0_ate_18,sul,1388.0,386.0,775.0,320.0,44000.0
19,de_0_ate_18,sul,97.0,24.0,29.0,15.0,27500.0
20,ate_29,sul,1491.0,360.0,1135.0,303.0,44400.0
21,ate_29,sul,796.0,243.0,227.0,139.0,59200.0
22,ate_29,sul,350.0,95.0,119.0,58.0,50000.0
23,de_0_ate_18,sul,644.0,129.0,137.0,52.0,71300.0
24,ate_29,sul,1706.0,397.0,3424.0,283.0,53500.0
25,ate_37,sul,591.0,139.0,327.0,89.0,100000.0
26,ate_37,sul,1602.0,322.0,1130.0,335.0,71100.0
27,de_0_ate_18,sul,1276.0,270.0,867.0,261.0,80900.0
28,ate_37,sul,741.0,191.0,623.0,169.0,68600.0
29,ate_29,sul,1458.0,294.0,866.0,275.0,74300.0
30,acima_37,sul,1892.0,394.0,1175.0,374.0,65800.0
31,ate_37,sul,1263.0,262.0,950.0,241.0,67500.0
32,de_0_ate_18,sul,1136.0,196.0,481.0,185.0,146300.0
33,ate_29,sul,1087.0,171.0,649.0,173.0,113800.0
34,ate_29,sul,583.0,113.0,531.0,134.0,95800.0
35,ate_37,sul,1141.0,220.0,684.0,194.0,107800.0
36,ate_37,sul,1234.0,373.0,777.0,298.0,40000.0
37,ate_29,sul,1260.0,246.0,805.0,239.0,88500.0
38,de_0_ate_18,sul,3414.0,666.0,2097.0,622.0,91200.0
39,ate_29,sul,541.0,104.0,457.0,106.0,102800.0
40,de_0_ate_18,sul,1960.0,389.0,1691.0,356.0,64000.0
41,ate_37,sul,1523.0,440.0,1302.0,393.0,84700.0
42,ate_29,sul,2322.0,573.0,2185.0,602.0,70100.0
43,de_0_ate_18,sul,330.0,72.0,822.0,64.0,142500.0
44,ate_29,sul,3631.0,913.0,3565.0,924.0,88400.0
45,ate_37,sul,2159.0,492.0,1694.0,475.0,75500.0
46,ate_37,sul,1995.0,523.0,1069.0,410.0,43300.0
47,ate_29,sul,1024.0,218.0,890.0,232.0,46700.0
48,ate_29,sul,1402.0,287.0,1104.0,317.0,63700.0
49,de_0_ate_18,sul,2872.0,610.0,2644.0,581.0,72700.0
50,ate_37,sul,540.0,136.0,122.0,63.0,42500.0
51,ate_29,sul,1109.0,283.0,1006.0,253.0,53400.0
52,acima_37,sul,1327.0,262.0,784.0,231.0,60800.0
53,ate_37,sul,1615.0,382.0,1307.0,345.0,58600.0
54,ate_29,sul,1617.0,366.0,1416.0,401.0,66400.0
55,de_0_ate_18,sul,1879.0,387.0,1376.0,337.0,67500.0
56,ate_29,sul,1715.0,337.0,1166.0,333.0,79200.0
57,de_0_ate_18,sul,1190.0,275.0,1113.0,258.0,63100.0
58,de_0_ate_18,sul,2804.0,581.0,2807.0,594.0,67700.0
59,de_0_ate_18,sul,807.0,199.0,246.0,102.0,40000.0
60,ate_29,sul,2578.0,634.0,2082.0,565.0,62200.0
61,ate_37,sul,1583.0,340.0,933.0,318.0,70700.0
62,ate_37,sul,2231.0,545.0,1568.0,510.0,60300.0
63,de_0_ate_18,sul,1527.0,325.0,1453.0,332.0,61200.0
64,ate_29,sul,1459.0,373.0,1148.0,388.0,69400.0
65,de_0_ate_18,sul,1697.0,268.0,911.0,254.0,96000.0
66,ate_29,sul,1513.0,395.0,1121.0,381.0,60600.0
67,acima_37,sul,2429.0,454.0,1188.0,430.0,70800.0
68,ate_29,sul,1712.0,403.0,1370.0,377.0,60400.0
69,ate_37,sul,2266.0,365.0,952.0,360.0,143000.0
70,ate_29,sul,2565.0,530.0,1447.0,473.0,80800.0
71,ate_37,sul,1540.0,316.0,1013.0,274.0,67500.0
72,ate_29,sul,666.0,142.0,580.0,160.0,61000.0
73,ate_29,sul,1004.0,221.0,697.0,201.0,59600.0
74,ate_29,sul,565.0,162.0,692.0,141.0,53600.0
